number of bathrooms,living area,number of floors,waterfront present,number of views,grade of the house,Area of the basement,living_area_renov
3.5,3560,2.0,0,0,8,750,2910
1.75,1770,1.0,0,0,8,400,2040
1.75,2980,1.0,0,0,9,750,2860
2.5,3010,2.0,0,0,9,0,2960
3.5,2700,1.5,0,2,6,750,2160
1.75,1480,1.5,0,0,8,0,1480
2.5,2160,2.0,0,0,8,0,2160
3.0,2670,2.0,0,2,7,0,2300
3.5,3510,2.0,0,0,8,760,3090
2.5,2710,2.0,0,0,7,0,2710
1.0,1330,1.0,0,0,7,0,1710
1.75,1680,1.0,0,0,7,0,1880
2.0,3080,1.0,0,0,8,1340,2100
1.75,2140,1.0,0,0,7,940,1600
2.25,2330,2.0,0,0,8,0,1910
2.5,2030,1.0,0,0,7,500,2400
1.0,1180,1.0,0,0,7,0,1680
1.5,1830,1.0,0,0,7,820,2450
2.5,1820,3.0,0,2,8,180,1440
2.5,1610,3.0,0,0,8,0,1540
2.25,1820,2.0,0,0,8,0,1850
3.5,3931,2.0,0,0,10,1281,3510
1.0,850,1.0,0,0,6,0,2160
2.5,1540,2.0,0,0,8,0,1540
2.25,2230,1.5,0,2,8,780,2060
2.5,1970,2.0,0,0,8,0,2590
2.0,1520,2.0,0,0,7,0,1860
1.75,1540,1.0,0,0,6,500,1200
2.0,1300,2.0,0,0,7,0,1300
2.0,1380,1.0,0,0,7,0,1380
1.0,1180,1.0,0,0,7,0,1700
1.75,1260,1.0,0,0,7,0,1570
1.0,800,1.5,0,0,5,0,1790
1.75,1310,1.0,0,0,7,0,1530
2.75,2610,1.0,0,0,7,1250,1600
2.5,1484,3.0,0,0,7,0,1484
2.75,1420,2.0,0,0,8,260,1420
2.25,1445,2.0,0,0,7,145,1410
2.25,2470,2.0,0,0,8,240,1970
1.0,1240,1.0,0,0,7,0,1810
1.75,1030,2.0,0,0,7,265,1030
1.0,1400,1.5,0,0,6,0,1600
1.0,730,1.0,0,0,7,0,1020
1.0,1160,1.0,0,0,7,0,1160
2.5,2440,2.0,0,0,7,0,1860
2.0,1760,1.0,0,0,7,0,2590
1.0,1440,1.0,0,0,7,400,1370
2.25,2350,1.0,0,0,7,0,1570
1.5,1950,1.0,0,0,7,940,1850
2.25,1650,2.0,0,0,7,0,1420
2.25,2300,2.0,0,0,8,0,2270
2.0,1310,1.0,0,0,7,0,1310
1.0,1920,1.0,0,0,7,760,1920
2.0,1310,1.0,0,0,7,0,1530
2.0,1760,1.0,0,0,7,0,1190
1.5,1370,1.5,0,0,7,0,1370
1.0,1220,1.0,0,0,7,0,1260
1.0,720,1.0,0,0,6,0,1170
1.0,480,1.0,0,0,5,0,890
1.0,1450,1.0,0,0,7,0,1680
1.0,790,1.0,0,0,6,0,1380
3.75,4220,2.0,0,2,11,800,3380
3.25,3990,2.0,0,2,9,1120,3640
2.75,2730,1.5,1,4,9,790,2630
2.75,3410,1.0,0,4,8,1700,3080
3.25,3780,2.0,0,0,11,0,3720
3.25,3770,2.0,0,0,10,0,2290
3.75,3710,2.0,0,0,10,800,2390
2.5,3420,2.0,0,0,10,0,2260
1.0,2330,1.5,0,0,7,0,1570
2.5,4150,2.0,0,0,10,0,3320
1.75,2800,1.0,0,0,9,1400,1490
2.5,3480,2.0,0,0,9,1120,3620
2.75,3130,2.0,0,0,9,990,2260
3.25,3230,2.0,0,0,10,0,3230
4.0,2680,1.0,0,0,7,1300,1930
2.25,3060,2.0,0,0,10,0,3430
2.0,2050,1.5,0,0,9,0,2320
2.5,2410,2.0,0,0,10,0,2310
3.75,2380,1.5,0,0,7,690,1990
3.25,3080,2.0,0,0,8,1000,2100
3.0,2160,1.0,0,0,7,840,1430
1.5,1540,2.0,0,0,8,0,1590
2.5,2370,1.0,0,0,9,740,2440
2.5,2160,1.0,0,0,7,1080,1650
2.0,1810,2.0,1,4,8,0,2180
2.0,1650,2.0,0,0,8,0,1730
1.75,1580,1.0,0,0,8,0,2080
3.0,3030,1.0,0,0,8,1360,2890
1.75,1720,1.0,0,0,7,550,1760
2.5,2800,1.0,0,0,8,1100,2460
2.25,1700,1.0,0,0,7,850,2180
2.5,2400,2.0,0,0,8,0,2230
3.0,1330,2.0,0,0,8,210,1810
2.5,1280,3.0,0,0,8,0,1450
1.5,1380,1.0,0,0,7,300,1510
2.0,2420,1.5,0,0,7,0,1570
2.75,2620,1.0,0,0,8,1270,1940
1.75,1520,1.0,0,0,7,520,1510
2.5,2840,2.0,0,0,9,0,2500
2.25,2010,2.0,0,0,8,0,2230
2.5,3110,2.0,0,0,9,0,2650
4.5,2940,1.5,0,0,8,0,2010
1.0,1860,1.0,0,0,8,390,1770
1.75,1420,1.0,0,0,7,0,2020
1.0,1700,1.0,0,0,7,620,1700
2.25,3470,1.5,0,0,8,680,2020
2.5,2530,2.0,0,0,8,1000,1730
2.5,2425,2.0,0,0,9,0,2725
2.25,2100,2.0,0,0,8,0,2396
2.5,2650,2.0,0,0,9,0,2630
2.25,1450,2.0,0,0,8,290,1370
1.0,720,1.0,0,0,6,0,1460
2.5,1850,2.0,0,0,8,0,1930
2.5,2120,2.0,0,0,8,0,1880
3.0,3320,1.0,0,0,8,1660,2330
2.0,1500,1.0,0,0,7,630,1500
2.5,1720,2.0,0,0,7,0,2220
1.75,1830,1.0,0,0,7,770,1990
2.0,1340,1.0,0,0,8,0,1350
1.75,1330,1.0,0,0,6,620,1690
2.25,1450,1.0,0,0,7,0,1660
1.75,1680,1.5,0,0,7,0,950
2.25,1100,2.0,0,0,9,0,1100
2.5,2720,2.0,0,0,9,0,2410
2.25,860,2.0,0,0,9,0,1100
1.0,980,1.5,0,0,7,0,1070
1.75,1410,1.0,0,0,7,0,1550
1.0,910,1.0,0,0,7,0,1170
2.5,1981,2.0,0,0,8,0,1981
2.5,2200,2.0,0,0,8,0,2200
1.75,1250,1.0,0,0,6,0,1270
2.5,2240,1.0,0,2,7,930,1780
1.0,910,1.0,0,0,6,0,890
1.75,2000,1.0,0,0,7,990,1490
2.0,1380,2.0,0,0,7,0,1620
1.0,1200,1.0,0,0,6,400,940
2.5,1440,2.0,0,0,7,0,1440
2.25,1810,1.0,0,0,7,570,1810
2.25,2190,2.0,0,0,7,0,1570
1.5,1580,1.0,0,0,6,0,1400
1.0,1240,1.0,0,0,6,280,1820
2.5,1700,2.0,0,0,7,0,1570
1.5,1250,1.0,0,0,7,0,1320
1.0,790,1.0,0,0,6,0,1030
1.0,770,1.0,0,0,7,0,1060
1.0,920,1.0,0,0,6,0,1010
1.0,1560,1.5,0,1,7,0,2620
1.5,1110,3.0,0,0,8,0,1110
1.0,940,1.0,0,0,6,0,1900
1.75,2090,1.0,0,0,7,0,1700
1.0,630,1.0,0,0,6,0,1470
1.0,1790,1.0,0,0,7,530,1470
2.5,1800,2.0,0,0,8,0,1580
3.0,3330,1.5,0,3,9,1000,2620
3.5,4180,2.0,0,2,10,1020,3260
2.5,2230,2.0,0,0,8,600,2410
3.0,4040,2.0,0,0,11,0,3930
2.5,3600,2.0,0,0,9,0,3590
2.75,3140,1.0,0,2,8,1570,2430
2.5,3300,1.0,0,0,7,910,1950
2.5,2520,2.0,0,0,8,0,1810
3.5,3630,2.0,0,0,9,840,3600
2.25,2780,1.0,0,3,9,1110,2780
2.75,2860,2.5,0,0,8,480,2240
1.75,1490,1.0,0,0,8,0,2070
2.5,2920,2.0,0,0,9,0,2930
2.75,3060,1.0,0,0,9,1250,1980
1.75,1530,1.0,0,2,7,510,1530
2.5,2540,2.0,0,0,9,0,3640
2.0,1860,1.0,0,0,7,930,1980
2.25,2530,2.0,0,0,9,0,3110
1.0,1530,1.0,0,0,7,0,1530
2.5,2600,2.0,0,0,7,0,2600
1.5,1990,1.0,0,0,6,560,1350
1.75,1890,1.0,0,0,8,0,2720
1.75,2580,1.0,0,0,9,1190,2460
2.5,2120,1.0,0,0,8,670,2120
3.0,2360,1.0,0,0,8,600,1640
2.75,2230,1.0,0,0,8,770,2200
2.5,2170,1.5,0,0,7,890,1180
2.5,1720,2.0,0,2,8,250,1140
1.5,1260,1.0,0,0,7,480,1540
2.5,2550,2.0,0,0,7,0,2430
2.5,2430,2.0,0,0,7,0,2620
2.5,1690,2.0,0,0,7,0,1690
2.5,2320,2.0,0,0,8,0,2090
2.5,1470,1.0,0,0,7,540,1470
2.25,1630,1.0,0,0,7,530,1640
2.5,2070,2.0,0,0,8,0,2090
2.25,2520,1.0,0,2,8,840,2300
1.75,1510,1.0,0,0,7,0,1480
2.25,2120,2.0,0,2,7,0,2120
1.0,1290,1.0,0,0,7,0,1760
2.25,2060,1.5,0,0,7,500,2060
1.75,1680,2.0,0,0,8,0,1840
2.5,2470,2.0,0,0,8,0,2470
1.0,1010,1.0,0,0,7,0,1310
1.0,1120,1.0,0,0,7,0,1340
2.25,2060,1.0,0,0,7,760,1990
1.0,1360,1.0,0,0,5,0,1460
2.25,1770,1.0,0,0,8,440,1910
1.75,2100,1.0,0,0,7,0,1930
2.25,3340,2.0,0,0,8,0,2230
1.0,1100,1.0,0,0,6,0,1746
1.0,1010,1.0,0,0,7,0,1480
2.0,2050,1.0,0,0,7,750,2050
2.5,1870,2.0,0,0,8,0,2150
1.75,1160,1.0,0,0,7,0,1670
2.5,1890,2.0,0,0,7,0,1980
1.5,1280,3.0,0,0,7,0,1420
1.75,1440,1.0,0,0,7,450,1550
2.25,1750,1.0,0,0,7,400,2020
1.0,720,1.0,0,0,7,0,1580
1.75,1250,1.0,0,0,7,0,1640
1.0,960,1.0,0,0,6,0,1010
1.5,1030,1.0,0,0,7,0,1460
2.5,1410,2.0,0,0,7,0,1290
1.5,1750,2.0,0,0,8,0,1840
1.0,770,1.0,0,0,6,0,1550
2.0,1140,1.0,0,0,7,0,1720
1.75,1450,1.0,0,0,7,0,1210
1.0,1040,1.0,0,0,7,0,1780
1.75,1480,1.0,0,0,7,0,1130
1.0,810,1.0,0,0,6,0,1050
1.0,1200,1.0,0,0,6,0,1200
1.0,1010,1.0,0,0,7,0,1110
1.0,840,1.0,0,0,6,0,840
4.75,4790,2.0,0,0,12,0,3830
4.25,5020,2.0,0,0,12,0,4930
3.25,3030,1.5,0,0,9,330,1890
2.5,3200,1.0,0,3,8,1600,2640
1.75,3080,1.0,0,0,9,1380,2960
4.0,3770,2.0,0,0,10,830,3300
1.75,1810,1.0,0,4,9,880,3540
2.5,2720,2.0,0,0,10,0,2750
3.0,2980,2.0,0,0,10,340,2010
2.5,3110,2.0,0,0,9,0,2850
2.25,2700,2.0,0,0,9,0,2630
1.75,1700,1.0,0,1,8,440,2200
3.5,3820,2.0,0,3,9,950,2500
3.5,4790,2.0,0,1,9,1680,2620
2.5,2750,2.0,0,0,10,0,3160
3.25,2110,2.0,0,0,8,0,1780
2.0,1590,1.0,0,2,7,600,2190
2.5,2930,2.0,0,0,9,0,2600
2.5,2990,2.0,0,0,9,780,2990
2.5,2190,1.0,0,0,7,650,2880
2.75,3360,2.0,0,0,9,0,3360
3.0,2630,2.0,0,0,9,0,2880
2.5,2070,2.0,0,0,8,0,1650
2.75,2640,1.5,0,0,9,380,2640
2.5,3160,2.0,0,0,8,0,3110
1.75,2330,1.0,0,2,7,1110,2560
3.5,2650,2.0,0,0,8,420,2330
2.5,2650,2.0,0,0,9,0,2200
3.5,3420,2.0,0,0,9,0,3420
2.5,2740,2.0,0,0,9,0,2630
2.5,1840,2.0,0,0,8,0,1890
3.5,3110,2.0,0,0,8,0,2910
1.75,2910,1.0,0,0,7,1380,2520
4.25,3380,2.0,0,0,8,0,2790
3.0,2200,1.0,0,0,7,760,1960
1.5,1730,1.0,0,0,7,480,1370
3.25,3420,2.0,0,0,10,1090,2320
2.5,2710,2.0,0,0,7,0,2380
1.75,1790,1.0,0,0,7,380,1820
1.75,2460,1.0,0,0,7,1230,1560
2.5,2830,2.0,0,0,9,0,2730
1.75,1340,2.0,0,0,7,280,2480
2.5,2020,1.0,0,0,7,1010,1620
2.5,1650,2.0,0,0,8,0,1760
4.0,3210,2.0,0,0,8,800,2750
2.5,2190,2.0,0,0,8,0,2400
2.0,1600,1.0,0,0,7,0,1600
2.5,2130,2.0,0,0,8,0,2250
4.0,3150,2.0,0,0,8,0,1880
1.75,1300,1.0,0,0,7,0,1520
2.0,2190,1.0,0,0,7,800,2010
2.5,1340,2.0,0,0,8,0,1630
1.0,1080,1.0,0,0,7,0,2230
1.75,2500,1.0,0,0,8,1200,1580
1.5,1970,1.0,0,0,7,290,2200
1.75,1140,1.0,0,0,7,0,1490
1.75,1760,1.0,0,0,7,600,1790
2.0,2760,1.0,0,0,7,1380,1400
1.75,1300,1.0,0,0,7,0,1740
1.0,1440,1.5,0,0,7,0,1440
2.25,2140,2.0,0,0,8,0,2040
4.0,2700,1.0,0,0,7,1350,2260
2.5,2110,1.0,0,0,8,520,1960
2.75,3140,1.0,0,0,8,1060,2850
2.5,2540,1.0,0,1,8,1250,2230
2.5,3135,2.0,0,0,9,0,3008
1.75,1570,1.0,0,0,7,530,1280
2.75,2370,2.0,0,0,7,0,2290
1.0,940,1.0,0,0,7,0,1430
1.75,1870,1.0,0,0,8,550,1870
2.0,1590,1.0,0,0,7,550,1670
2.5,1870,1.0,0,0,7,620,1380
1.0,1990,1.0,0,0,7,0,1320
1.5,1030,1.0,0,0,7,0,1750
1.75,1830,1.0,0,0,7,400,1320
1.75,1050,1.5,0,2,6,0,1320
2.0,1700,1.0,0,0,7,0,1700
1.5,1970,1.0,0,0,6,0,1850
1.0,1260,1.0,0,0,6,160,1260
1.0,1530,1.0,0,0,7,560,1540
1.5,2550,1.0,0,0,7,990,1380
1.0,1240,1.0,0,0,7,0,2060
2.0,1430,1.0,0,0,7,0,1610
1.0,1010,1.0,0,0,7,0,1150
1.0,920,1.0,0,0,6,0,1410
1.0,860,1.0,0,0,5,0,900
1.5,1310,1.0,0,0,7,0,1710
1.0,1260,1.5,0,0,7,0,910
1.0,1020,1.0,0,0,6,0,1600
1.0,1010,1.0,0,0,7,0,1550
2.0,1750,1.0,0,0,5,0,1440
1.0,1470,1.5,0,0,6,0,1770
2.5,1520,2.0,0,0,7,0,1780
1.0,1040,1.0,0,3,6,0,1880
3.5,3210,2.0,0,2,10,920,1940
4.5,3732,2.5,0,0,10,800,2950
3.25,5180,1.0,0,0,11,2570,4050
2.75,2980,1.5,0,0,8,1390,1520
1.0,1670,1.5,0,0,8,0,1820
2.0,3090,1.0,0,0,7,0,3300
2.5,3340,2.0,0,0,9,0,1560
2.5,2650,2.0,0,0,11,0,3270
1.75,1728,1.0,0,3,9,0,1720
3.25,3410,2.0,0,0,8,0,1660
1.75,2040,1.5,0,0,8,500,1620
2.0,2660,1.0,0,0,7,1280,1660
2.25,1780,3.0,0,0,8,210,1470
3.25,3920,2.0,0,0,9,890,2660
2.75,2050,1.5,0,0,7,470,1760
2.5,2660,2.0,0,2,9,0,2330
2.0,2400,1.0,0,0,7,0,1830
2.5,2370,1.0,0,0,8,710,2360
2.25,2570,2.0,0,0,8,0,2390
2.5,1280,2.0,0,0,8,200,1580
3.0,1730,3.0,0,0,8,0,1830
3.0,1720,1.0,0,2,7,0,2740
1.0,1260,1.0,0,0,7,260,1780
2.5,2080,1.0,0,0,8,650,2400
2.5,2200,1.0,0,0,7,870,2290
2.25,2970,2.0,0,0,8,0,2260
1.75,2870,1.5,0,1,8,0,2420
1.0,1510,1.0,0,0,7,630,1330
1.75,1730,1.0,0,0,8,0,2080
1.75,1610,1.0,0,2,7,400,1610
2.5,1890,1.0,0,0,7,390,2070
3.0,2360,2.0,0,1,7,580,1970
1.75,1510,1.0,0,0,8,0,2660
2.0,1910,1.0,0,0,7,890,1030
2.5,2540,1.0,0,0,8,720,1650
1.75,1510,1.0,0,0,8,0,1640
3.75,3860,2.0,0,0,7,0,3000
1.0,1540,1.5,0,0,7,0,1920
1.0,1290,1.0,0,0,7,140,1960
2.5,2360,1.0,0,0,8,0,1730
2.5,2420,2.0,0,0,8,640,2420
1.75,1550,1.0,0,0,7,340,1550
1.0,1000,1.0,0,0,7,0,1280
2.5,2440,2.0,0,0,7,0,2440
2.5,3310,2.0,0,2,9,0,3310
3.25,4340,2.0,0,0,7,1790,1890
1.0,1230,1.0,0,0,6,400,1300
1.0,1620,1.5,0,0,7,0,1220
3.5,3672,2.0,0,0,9,666,2140
3.5,2738,2.0,0,0,8,0,2738
1.75,1150,1.0,0,0,7,380,1440
1.0,1710,1.5,0,0,6,0,1940
2.5,2430,2.0,0,0,8,0,2430
1.5,1540,1.0,0,0,7,0,1690
1.5,1630,1.0,0,0,7,0,1630
2.5,1900,2.0,0,0,8,0,1830
2.5,2800,2.0,0,0,9,0,2960
1.0,1140,1.0,0,1,6,160,1220
2.5,2080,2.0,0,0,7,0,2080
1.0,1180,1.0,0,0,7,0,1320
1.0,860,1.0,0,0,7,0,1554
2.5,2210,2.0,0,0,8,0,1850
2.5,2540,2.0,0,0,8,0,2540
2.75,2440,2.0,0,0,8,0,2300
2.5,2310,2.0,0,0,8,0,2480
2.25,1340,1.5,0,0,6,170,1670
2.25,2140,2.0,0,0,7,0,1890
1.0,1140,1.0,0,0,5,0,2200
1.0,1190,1.0,0,0,7,0,1450
1.5,1800,1.0,0,0,7,470,1780
2.75,2920,1.5,0,0,7,1120,1220
1.0,1420,1.5,0,0,6,0,1290
1.5,1320,1.0,0,0,7,0,1530
1.0,1690,1.0,0,0,7,0,1130
1.0,840,1.0,0,0,6,0,1442
3.0,1790,2.0,0,0,7,310,1220
1.0,1050,1.0,0,0,7,0,1280
1.0,1020,1.0,0,0,6,0,1160
1.0,940,1.0,0,0,6,0,1210
1.0,1500,1.5,0,0,6,0,1520
1.0,1020,1.0,0,0,6,0,1690
1.0,1190,1.0,0,0,7,0,1200
1.0,1170,1.0,0,0,7,0,1440
2.0,1410,1.0,0,0,7,0,1410
1.75,1050,1.0,0,0,7,0,1300
1.0,900,1.0,0,0,6,0,1120
4.25,5510,2.0,0,4,13,600,3430
3.25,4830,2.0,1,4,11,0,3820
2.75,3690,2.0,1,4,12,0,2310
2.75,4460,2.5,0,2,10,1000,2750
3.25,2910,2.0,0,3,9,1080,3100
3.5,3620,2.0,0,2,10,830,2690
2.5,3380,2.0,0,0,10,0,3390
3.0,2490,2.0,0,3,8,700,2490
3.25,3640,2.0,0,2,9,1680,1940
3.75,5400,2.0,0,0,11,0,1690
2.5,3160,1.0,0,3,11,1000,3990
3.5,2990,2.0,0,4,9,990,2390
1.75,2490,1.0,0,3,8,1250,3210
3.5,3380,1.0,0,1,9,1690,1890
2.75,4450,2.0,0,0,9,800,4000
3.5,2840,1.0,0,4,10,0,3180
2.0,1830,1.0,0,0,7,600,2020
2.25,2190,2.0,0,0,8,780,1990
2.5,3320,2.0,0,0,10,0,3270
2.5,2540,1.0,0,0,10,0,2790
2.5,2620,1.5,0,0,9,0,2620
2.5,2310,1.0,0,3,8,0,2310
3.5,3200,2.0,0,2,9,700,2240
2.25,2040,2.0,0,0,9,0,3080
2.5,2095,1.5,0,0,8,800,1980
2.5,2880,2.0,0,0,10,0,3190
1.0,1210,1.0,0,0,7,210,1840
2.5,2550,2.0,0,0,9,0,2330
2.0,2010,2.0,0,2,9,0,1640
2.0,1450,3.0,0,0,9,0,1490
3.0,2970,2.0,0,0,9,0,2970
1.75,1800,1.0,0,0,8,0,1950
2.25,2450,1.0,0,2,7,1110,1850
2.25,1910,1.0,0,0,8,610,1810
2.5,2150,2.0,0,0,9,0,2540
2.5,2290,2.0,0,0,8,0,2290
2.25,2520,2.0,0,0,9,930,2000
2.5,2340,2.0,0,0,9,0,1820
3.5,3150,1.0,0,0,9,1530,3150
2.5,2290,2.0,0,0,8,0,2150
3.0,2710,2.5,0,0,9,0,2710
2.5,2010,2.0,0,0,8,0,1860
1.75,1760,1.5,0,0,7,0,3030
3.0,3760,1.0,0,0,10,1120,2820
1.0,1150,1.0,0,0,7,100,1463
2.25,1360,1.5,0,0,7,0,1900
3.5,2970,2.0,0,0,8,710,2970
3.5,2660,2.0,0,0,8,740,2970
2.25,2120,1.0,0,0,8,0,2480
1.75,1540,1.0,0,0,7,0,1890
2.5,1320,2.0,0,0,8,330,1550
2.25,2110,2.0,0,0,8,0,2110
1.75,2180,1.0,0,3,8,1090,2180
2.75,2300,2.0,0,0,8,600,1530
3.0,2930,1.0,0,0,7,1180,1400
2.5,2170,2.0,0,0,7,0,1430
1.75,2100,1.0,0,0,7,1020,2100
2.5,2990,2.0,0,0,9,0,2810
1.0,1340,1.0,0,0,7,0,1700
2.5,1960,2.0,0,0,7,0,1700
2.5,2660,2.0,0,0,8,0,2380
1.0,1440,1.0,0,0,6,720,1280
1.0,910,1.0,0,0,7,0,1160
2.25,2150,2.0,0,0,8,0,2200
2.25,1190,2.0,0,0,8,140,1210
2.75,2840,1.0,0,0,7,1420,2210
1.75,1460,1.0,0,0,7,500,1810
1.0,860,1.0,0,0,7,0,2160
2.75,1810,2.0,0,0,8,0,1810
1.0,1960,1.5,0,0,6,0,2430
2.0,2460,1.0,1,4,7,0,2660
2.0,1750,1.0,0,0,7,0,1210
2.5,1260,3.0,0,0,8,0,1270
1.0,1510,1.0,0,0,7,0,1170
1.0,1070,1.0,0,0,7,0,1490
1.0,1210,1.5,0,0,7,0,1430
2.25,2130,1.0,0,0,7,0,1710
2.5,1780,2.0,0,0,7,0,3050
1.0,960,1.0,0,0,6,0,1210
2.25,1610,2.0,0,0,7,0,1760
2.5,1820,2.0,0,0,7,0,1490
1.0,1050,1.0,0,0,7,0,1890
2.5,1610,2.0,0,0,7,0,1660
2.5,2120,1.0,0,0,7,900,1820
1.0,1120,1.0,0,0,6,0,1120
1.0,720,1.0,0,0,6,0,990
2.5,2040,1.0,0,0,8,700,2370
1.0,1300,1.5,0,0,6,0,1240
4.25,6510,2.0,0,3,11,3260,4480
4.25,4150,2.0,0,0,10,0,3230
3.25,4770,1.0,0,0,11,1700,3530
3.25,2830,2.0,0,0,9,920,2740
3.5,3780,2.0,0,2,10,0,2150
2.75,2640,2.0,0,0,8,910,1530
2.5,2820,1.0,0,4,9,1050,3740
2.5,3300,2.0,0,0,9,0,3280
2.5,2140,1.0,0,0,8,0,2680
2.5,3680,1.5,0,0,9,0,2410
1.75,2040,2.0,0,0,7,680,1610
3.5,1930,1.5,0,2,7,0,1500
2.5,2620,2.0,0,0,8,790,2620
2.75,2280,1.5,0,0,8,760,1970
3.5,2650,2.0,0,0,8,420,2330
3.25,1510,2.0,0,0,9,180,1510
2.5,2690,1.0,0,3,8,560,2390
2.5,2330,2.0,0,0,9,0,2930
2.5,2650,2.0,0,0,8,0,2650
2.75,3370,2.0,0,0,9,0,3010
2.5,2780,1.0,0,0,9,0,2780
1.75,2030,2.0,0,4,9,300,2320
3.0,2640,2.0,0,0,9,0,2680
1.0,1150,1.0,0,0,7,0,1490
2.25,2200,2.0,0,0,8,0,2400
1.75,1920,1.0,0,0,7,580,2540
2.5,2300,2.0,0,0,9,0,2480
3.0,2130,1.5,0,0,7,560,1638
2.0,1550,1.5,0,0,8,0,1440
1.75,1340,1.0,0,0,7,250,1550
3.5,3090,2.0,0,2,9,1070,2180
2.25,1630,1.0,0,2,7,400,1550
2.5,2400,2.0,0,0,9,0,2980
2.0,2090,2.0,0,1,7,0,1600
2.5,2280,2.0,0,0,8,0,2640
1.75,1400,1.0,0,0,8,700,1370
2.5,3236,2.0,0,0,10,0,3236
2.5,1460,2.0,0,0,8,300,1460
2.5,2400,2.0,0,0,8,0,2040
2.5,1700,1.0,0,0,7,850,1380
2.5,1730,2.0,0,0,8,0,1730
1.5,901,3.0,0,0,7,0,1138
2.5,1710,3.0,0,0,8,200,1610
1.75,1970,1.0,0,0,7,380,1790
1.5,1070,3.0,0,0,8,0,1100
2.5,2240,2.0,0,0,8,0,2190
2.0,1300,1.0,0,0,8,0,1640
2.5,2360,2.0,0,0,8,0,2280
2.5,1400,1.0,0,0,7,200,1440
1.5,1210,1.0,0,0,7,0,980
2.5,1660,1.0,0,0,7,510,1250
2.25,1610,1.0,0,0,7,0,1720
2.0,800,1.0,0,0,6,0,1160
1.5,1400,1.0,0,0,7,290,1690
1.0,670,1.0,0,0,6,0,870
2.5,2040,2.0,0,0,7,0,1570
2.0,1090,2.0,0,0,7,0,1078
1.0,1020,1.0,0,0,6,240,1330
1.5,1160,1.0,0,0,7,0,1160
1.0,880,1.0,0,0,7,0,880
1.75,3100,1.0,0,1,9,0,3480
2.0,1270,2.0,0,0,7,0,1440
1.0,1360,1.5,0,0,7,0,1530
1.5,1690,1.0,0,0,7,260,1930
1.75,1560,2.0,0,0,8,0,1000
2.5,2620,2.0,0,0,9,0,2430
2.5,2230,1.0,0,0,7,1050,1860
2.0,1680,1.0,0,0,8,0,1680
1.75,1900,1.0,0,0,7,0,1420
3.5,5440,2.0,0,0,12,0,4830
2.5,3060,2.0,0,0,10,0,3060
3.5,3590,2.0,0,2,9,450,2100
2.25,3740,1.0,0,0,9,1870,2610
3.75,4120,2.0,0,0,10,0,3730
3.0,2720,1.0,0,0,9,0,2640
3.25,2950,2.0,0,0,9,500,1930
2.5,2490,1.0,0,0,8,880,2290
3.0,3990,2.0,0,0,9,0,3370
1.0,1980,1.5,0,0,8,0,1380
2.5,1580,3.0,0,1,9,0,1610
1.75,2230,1.0,0,0,8,700,1970
1.0,2520,1.5,0,0,8,700,2350
3.25,2250,1.0,0,0,9,0,2760
3.0,3290,1.0,0,0,7,1420,1970
1.75,2450,1.0,0,2,8,910,2520
1.75,1300,1.0,0,3,8,420,2440
2.25,2260,1.0,0,0,8,730,2220
2.5,2630,2.0,0,0,9,0,2640
2.5,2080,1.0,0,2,8,860,2090
1.75,2940,1.0,0,2,8,1350,2880
2.5,2320,2.0,0,0,9,0,2610
2.5,2510,1.0,0,0,7,600,2510
1.75,1920,1.0,0,0,7,850,2280
3.5,2950,2.0,0,3,9,600,2950
2.25,2130,2.0,0,0,8,0,2110
2.25,2060,1.0,0,0,8,0,2360
3.5,1460,2.0,0,0,8,310,1460
1.75,2870,2.0,0,2,8,1100,2960
1.5,1790,1.0,0,0,7,770,1680
2.75,1960,1.0,0,0,8,720,2040
2.25,2100,1.0,0,4,8,630,2410
1.75,2230,1.0,0,0,7,0,2230
2.0,1600,1.0,0,0,7,0,1850
2.5,1740,2.0,0,0,8,620,1750
1.75,2420,2.0,0,1,8,0,2970
1.75,2040,1.0,0,0,7,0,1850
2.75,1720,1.0,0,0,7,450,1690
2.5,2270,2.0,0,2,8,0,2550
2.5,3150,2.0,0,0,9,0,3100
2.5,1240,3.0,0,0,8,0,1240
1.75,990,1.0,0,0,6,0,840
1.0,1210,1.0,0,0,7,0,1700
2.5,2790,2.0,0,0,9,0,2550
2.0,1510,1.0,0,0,8,0,1440
1.5,1440,1.0,0,0,7,300,1590
2.5,2230,2.0,0,0,7,0,2230
3.5,3180,2.0,0,0,8,790,2850
1.75,1910,1.0,0,0,9,0,2580
1.75,1930,1.0,0,0,7,820,1870
3.0,3880,2.0,0,0,7,0,2620
1.5,1400,1.0,0,0,7,0,1220
1.0,1060,1.0,0,0,7,0,1920
1.75,2340,1.0,0,0,6,1140,860
3.75,2220,1.5,0,0,6,890,1490
1.0,1280,1.0,0,0,7,340,1360
2.75,3220,2.0,0,0,9,0,2876
2.5,2430,2.0,0,0,8,700,2160
1.0,1360,1.0,0,0,7,0,1490
1.0,1280,1.0,0,0,7,140,1050
1.75,1270,1.0,0,0,7,0,1490
1.75,1880,1.0,0,0,7,0,1900
2.5,3597,2.0,0,0,7,0,3193
1.0,980,1.0,0,0,7,0,1220
1.75,1980,1.0,0,0,7,0,1630
2.5,1740,2.0,0,0,7,0,1720
2.25,1740,2.0,0,0,8,0,1680
1.0,800,1.0,0,0,6,0,1640
